Division Number: 29
Division Date: 16 June 2021 - 19:10

Proceedings during the pandemic

Aye Count: 588
No Count: 25
Result: Question accordingly agreed.

Members recorded
Member,Party,Constituency,Vote,Proxy Member
"Liam Byrne","Labour","Birmingham, Hodge Hill","Aye","Mark Tami"
"Ruth Cadbury","Labour","Brentford and Isleworth","Aye","Mark Tami"
"Alun Cairns","Conservative","Vale of Glamorgan","Aye","Stuart Andrew"
"Amy Callaghan","Scottish National Party","East Dunbartonshire","Aye","Owen Thompson"
"Lisa Cameron","Scottish National Party","East Kilbride, Strathaven and Lesmahagow","Aye","Owen Thompson"
"Gregory Campbell","Democratic Unionist Party","East Londonderry","Aye","Jim Shannon"
"Alan Campbell","Labour","Tynemouth","Aye","Mark Tami"
"Dan Carden","Labour","Liverpool, Walton","Aye","Mark Tami"
"Alistair Carmichael","Liberal Democrat","Orkney and Shetland","Aye","Wendy Chamberlain"
"Andy Carter","Conservative","Warrington South","Aye","Stuart Andrew"
"James Cartlidge","Conservative","South Suffolk","Aye","Stuart Andrew"
"William Cash","Conservative","Stone","Aye","Stuart Andrew"
"Miriam Cates","Conservative","Penistone and Stocksbridge","Aye","Stuart Andrew"
"Maria Caulfield","Conservative","Lewes","Teller - Ayes",""
"Alex Chalk","Conservative","Cheltenham","Aye","Stuart Andrew"
"Wendy Chamberlain","Liberal Democrat","North East Fife","Aye",""
"Sarah Champion","Labour","Rotherham","Aye","Mark Tami"
"Douglas Chapman","Scottish National Party","Dunfermline and West Fife","Aye","Owen Thompson"
"Bambos Charalambous","Labour","Enfield, Southgate","Aye","Mark Tami"
"Joanna Cherry","Scottish National Party","Edinburgh South West","Aye","Owen Thompson"
"Rehman Chishti","Conservative","Gillingham and Rainham","Aye","Stuart Andrew"
"Christopher Chope","Conservative","Christchurch","No","William Wragg"
"Jo Churchill","Conservative","Bury St Edmunds","Aye","Stuart Andrew"
"Feryal Clark","Labour","Enfield North","Aye","Mark Tami"
"Greg Clark","Conservative","Tunbridge Wells","Aye",""
"Brendan Clarke-Smith","Conservative","Bassetlaw","Aye","Stuart Andrew"
"Simon Clarke","Conservative","Middlesbrough South and East Cleveland","Aye","Stuart Andrew"
"Theo Clarke","Conservative","Stafford","Aye","Stuart Andrew"
"Chris Clarkson","Conservative","Heywood and Middleton","Aye","Stuart Andrew"
"James Cleverly","Conservative","Braintree","Aye","Stuart Andrew"
"Geoffrey Clifton-Brown","Conservative","The Cotswolds","Aye",""
"Thérèse Coffey","Conservative","Suffolk Coastal","Aye","Stuart Andrew"
"Elliot Colburn","Conservative","Carshalton and Wallington","Aye","Stuart Andrew"
"Damian Collins","Conservative","Folkestone and Hythe","Aye","Stuart Andrew"
"Daisy Cooper","Liberal Democrat","St Albans","Aye","Wendy Chamberlain"
"Rosie Cooper","Labour","West Lancashire","Aye","Mark Tami"
"Yvette Cooper","Labour","Normanton, Pontefract and Castleford","Aye","Mark Tami"
"Jeremy Corbyn","Independent","Islington North","Aye","Zarah Sultana"
"Alberto Costa","Conservative","South Leicestershire","Aye","Stuart Andrew"
"Robert Courts","Conservative","Witney","Aye","Stuart Andrew"
"Claire Coutinho","Conservative","East Surrey","Aye","Stuart Andrew"
"Ronnie Cowan","Scottish National Party","Inverclyde","Aye","Owen Thompson"
"Geoffrey Cox","Conservative","Torridge and West Devon","Aye","Stuart Andrew"
"Neil Coyle","Labour","Bermondsey and Old Southwark","Aye","Mark Tami"
"Stephen Crabb","Conservative","Preseli Pembrokeshire","Aye","Stuart Andrew"
"Angela Crawley","Scottish National Party","Lanark and Hamilton East","Aye","Owen Thompson"
"Stella Creasy","Labour","Walthamstow","Aye","Mark Tami"
"Virginia Crosbie","Conservative","Ynys Môn","Aye","Stuart Andrew"
"Tracey Crouch","Conservative","Chatham and Aylesford","Aye","Stuart Andrew"
"Jon Cruddas","Labour","Dagenham and Rainham","Aye","Mark Tami"
"John Cryer","Labour","Leyton and Wanstead","Aye","Mark Tami"
"Judith Cummins","Labour","Bradford South","Aye","Mark Tami"
"Alex Cunningham","Labour","Stockton North","Aye","Mark Tami"
"Janet Daby","Labour","Lewisham East","Aye","Mark Tami"
"James Daly","Conservative","Bury North","Aye","Stuart Andrew"
"Ed Davey","Liberal Democrat","Kingston and Surbiton","Aye","Wendy Chamberlain"
"Wayne David","Labour","Caerphilly","Aye","Mark Tami"
"Alex Davies-Jones","Labour","Pontypridd","Aye","Mark Tami"
"David T C Davies","Conservative","Monmouth","Aye","Stuart Andrew"
"James Davies","Conservative","Vale of Clwyd","Aye","Stuart Andrew"
"Gareth Davies","Conservative","Grantham and Stamford","Aye","Stuart Andrew"
"Geraint Davies","Labour","Swansea West","Aye","Mark Tami"
"Mims Davies","Conservative","Mid Sussex","Aye","Stuart Andrew"
"Philip Davies","Conservative","Shipley","No","Stuart Andrew"
"David Davis","Conservative","Haltemprice and Howden","No","Stuart Andrew"
"Dehenna Davison","Conservative","Bishop Auckland","No Vote Recorded",""
"Martyn Day","Scottish National Party","Linlithgow and East Falkirk","Aye","Owen Thompson"
"Marsha De Cordova","Labour","Battersea","Aye","Zarah Sultana"
"Thangam Debbonaire","Labour","Bristol West","Aye","Mark Tami"
"Tanmanjeet Singh Dhesi","Labour","Slough","Aye","Mark Tami"
"Caroline Dinenage","Conservative","Gosport","Aye","Stuart Andrew"
"Sarah Dines","Conservative","Derbyshire Dales","Aye","Stuart Andrew"
"Jonathan Djanogly","Conservative","Huntingdon","Aye","Stuart Andrew"
"Martin Docherty-Hughes","Scottish National Party","West Dunbartonshire","Aye","Owen Thompson"
"Leo Docherty","Conservative","Aldershot","Aye","Stuart Andrew"
"Anneliese Dodds","Labour","Oxford East","Aye","Mark Tami"
"Jeffrey M Donaldson","Democratic Unionist Party","Lagan Valley","Aye","Jim Shannon"
"Michelle Donelan","Conservative","Chippenham","Aye","Stuart Andrew"
"Dave Doogan","Scottish National Party","Angus","Aye","Owen Thompson"
