Division Number: 51
Division Date: 29 November 2024 - 14:08

Terminally Ill Adults (End of Life) Bill: Second Reading

Aye Count: 330
No Count: 275
Result: Question accordingly agreed.

Members recorded
Member,Party,Constituency,Vote,Proxy Member
"Bambos Charalambous","Labour","Southgate and Wood Green","Teller - Ayes",""
"Luke Charters","Labour","York Outer","Aye",""
"Christopher Chope","Conservative","Christchurch","No",""
"Ellie Chowns","Green Party","North Herefordshire","Aye",""
"Feryal Clark","Labour","Enfield North","No",""
"James Cleverly","Conservative","Braintree","No",""
"Geoffrey Clifton-Brown","Conservative","North Cotswolds","No Vote Recorded",""
"Lewis Cocking","Conservative","Broxbourne","No",""
"Chris Coghlan","Liberal Democrat","Dorking and Horley","Aye",""
"Ben Coleman","Labour","Chelsea and Fulham","No",""
"Jacob Collier","Labour","Burton and Uttoxeter","Aye",""
"Lizzi Collinge","Labour","Morecambe and Lunesdale","Aye",""
"Tom Collins","Labour","Worcester","No",""
"Victoria Collins","Liberal Democrat","Harpenden and Berkhamsted","Aye",""
"Liam Conlon","Labour","Beckenham and Penge","No",""
"Sarah Coombes","Labour","West Bromwich","Aye",""
"Andrew Cooper","Labour","Mid Cheshire","Aye",""
"Daisy Cooper","Liberal Democrat","St Albans","Aye",""
"Beccy Cooper","Labour","Worthing West","Aye",""
"John Cooper","Conservative","Dumfries and Galloway","No",""
"Yvette Cooper","Labour","Pontefract, Castleford and Knottingley","Aye",""
"Jeremy Corbyn","Independent","Islington North","No",""
"Alberto Costa","Conservative","South Leicestershire","No",""
"Deirdre Costigan","Labour","Ealing Southall","Aye",""
"Claire Coutinho","Conservative","East Surrey","No",""
"Pam Cox","Labour","Colchester","Aye",""
"Geoffrey Cox","Conservative","Torridge and Tavistock","No",""
"Neil Coyle","Labour","Bermondsey and Old Southwark","No",""
"Jen Craft","Labour","Thurrock","No",""
"Mary Creagh","Labour","Coventry East","No",""
"Stella Creasy","Labour","Walthamstow","Aye",""
"Torcuil Crichton","Labour","Na h-Eileanan an Iar","No",""
"Harriet Cross","Conservative","Gordon and Buchan","No",""
"Pat Cullen","Sinn Féin","Fermanagh and South Tyrone","No Vote Recorded",""
"Judith Cummins","Deputy Speaker","Bradford South","No Vote Recorded",""
"Chris Curtis","Labour","Milton Keynes North","Aye",""
"Janet Daby","Labour","Lewisham East","Aye",""
"Nicholas Dakin","Labour","Scunthorpe","Aye",""
"Ashley Dalton","Labour","West Lancashire","No",""
"Adam Dance","Liberal Democrat","Yeovil","Aye",""
"Steve Darling","Liberal Democrat","Torbay","Aye",""
"Emily Darlington","Labour","Milton Keynes Central","Aye",""
"Ed Davey","Liberal Democrat","Kingston and Surbiton","No",""
"Alex Davies-Jones","Labour","Pontypridd","Aye",""
"Ann Davies","Plaid Cymru","Caerfyrddin","No",""
"Gareth Davies","Conservative","Grantham and Bourne","No",""
"Jonathan Davies","Labour","Mid Derbyshire","No",""
"Mims Davies","Conservative","East Grinstead and Uckfield","No",""
"Paul Davies","Labour","Colne Valley","Aye",""
"Shaun Davies","Labour","Telford","Aye",""
"David Davis","Conservative","Goole and Pocklington","Aye",""
"Marsha De Cordova","Labour","Battersea","No",""
"Bobby Dean","Liberal Democrat","Carshalton and Wallington","Aye",""
"Josh Dean","Labour","Hertford and Stortford","Aye",""
"Kate Dearden","Labour","Halifax","Aye",""
"Carla Denyer","Green Party","Bristol Central","Aye",""
"Charlie Dewhirst","Conservative","Bridlington and The Wolds","No Vote Recorded",""
"Tanmanjeet Singh Dhesi","Labour","Slough","No",""
"Jim Dickson","Labour","Dartford","Aye",""
"Lee Dillon","Liberal Democrat","Newbury","Aye",""
"Caroline Dinenage","Conservative","Gosport","Aye",""
"Anna Dixon","Labour","Shipley","No",""
"Samantha Dixon","Labour","Chester North and Neston","Aye",""
"Anneliese Dodds","Labour","Oxford East","No",""
"Helena Dollimore","Labour","Hastings and Rye","Aye",""
"Dave Doogan","Scottish National Party","Angus and Perthshire Glens","No Vote Recorded",""
"Stephen Doughty","Labour","Cardiff South and Penarth","No",""
"Peter Dowd","Labour","Bootle","Aye",""
"Oliver Dowden","Conservative","Hertsmere","Aye",""
"Graeme Downie","Labour","Dunfermline and Dollar","Aye",""
"Rosie Duffield","Independent","Canterbury","No",""
"Iain Duncan Smith","Conservative","Chingford and Woodford Green","No",""
"Neil Duncan-Jordan","Labour","Poole","Aye",""
"Sarah Dyke","Liberal Democrat","Glastonbury and Somerton","Aye",""
"Angela Eagle","Labour","Wallasey","Aye",""
"Maria Eagle","Labour","Liverpool Garston","Aye",""
"Alex Easton","Independent","North Down","No",""
"Colum Eastwood","Social Democratic & Labour Party","Foyle","Aye",""
"Sorcha Eastwood","Alliance","Lagan Valley","No",""
"Cat Eccles","Labour","Stourbridge","Aye",""
